БИН;Название;Рег. номер (лицензия);Руководитель (ФИО);Адрес;Контакты (тел./email/сайт);Дата включения в реестр;Дата исключения;Основание исключения;Статус
160440028045;"ТОО ""Коллекторское агентство ""Паритет""";58.К.17.001;Алтаева Ботакоз Нурмахановна;160000, г.Шымкент, Аль-Фарабийский район, проспект Байдибек би, здание 95 А, почтовый индекс 160000;тел. +7771 934 36 77, +7771-591-0806, +7701 384 14 14 too.ka.paritet@gmail.com, http://paritet.one.kz/;28.09.2017;02.02.2024;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
180640013117;"ТОО ""Коллекторское агентство ""Партнер+""";58.К.18.022;Жолдасова Шолпан Темирбековна;"Местонахождение: г.Шымкент, Енбекшинский район, 16 микрорайон, д.4, кв.59. Фактический адрес: г.Шымкент, проспект Кунаева, 48, БЦ ""Оңтүстік""";тел: 8 -701-384-14-14 toopartnerplus@gmail.com / tootoopartnerplus.site;09.08.2018;05.12.2019;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
150540008598;"ТОО ""Коллекторское агентство ""Поисковик плюс принцып""";18.К.17.005;Макаров Иван Михайлович;г. Астана, улица Кунаева, дом 14/2, н.п. 10.;8 771 029 44 33, электронная почта: p87710294433@yandex.ru;14.11.2017;30.10.2023;подпункт 2) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
180640009357;"ТОО ""Коллекторское агентство ""Профессиональное агентство по возврату долгов""";05.К.18.26;Буралхиева Дана Сагаткановна;050000, г. Алматы, Медеуский район, ул. Айтеке Би, д.55;"8-707-721-37-53; ka-pavd@yandex.kz; ka-pavd.kz";09.11.2018;17.05.2024;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
180640012901;"ТОО ""Коллекторское агентство ""Ренессанс """;58.К.18.017;Серікбай Айзада Мұхтарқызы;160000, г.Шымкент, Аль-Фарабийский район, проспект Байдибек би, здание 95 А, почтовый индекс 160000;тел: 8 -701-384-14-14, toorenesanse@gmail.com / toorenesanse.site;07.08.2018;23.02.2024;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
170840030132;"ТОО ""Коллекторское агентство ""СВД""";05.К.17.012;Аманиязов Есен Калбаевич;050057, г. Алматы, ул. Жарокова, д.210 Б, офис 18;тел: 8 (727) 983 08 18, collection.svd@ gmail.com, www.svd.kz;23.10.2017;10.12.2021;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
200640033891;"ТОО ""Коллекторское агентство ""СТАР КОЛЛЕКШНС""";02.К.20.018;Харламов Роман Евгеньевич;050012, г. Алматы, Алмалинский район, улица Жамбыла 114/85, блок А, оф. 307/1, БЦ Бизнес сити;8--705-333-1009, 3331009@bk.ru , www.crrc.kz;25.08.2020;23.02.2023;подпункт 2) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
170640025575;"ТОО ""Коллекторское агентство ""СТАТУС""";18.К.17.001;Ильясова Р.А.;Карагандинская область, г. Караганда, микрорайон Степной -2, дом № 6/2;+7 (707) 4954811, kollektorskoeagenstvo.status@mail.ru, statuscollector.kz;11.10.2017;17.04.2019;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
181040000473;"ТОО ""Коллекторское агентство ""Самрук""";05.К.18.030;Дадаков Дмитрий Михайлович;г. Алматы, проспект Аль-Фараби, дом 77/2, офис 2i;8 708 971 47 33 samruk.collect1@gmail.com, www.smrk.kz;14.12.2018;22.02.2022;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
190740031597;"ТОО ""Коллекторское агентство ""ТЕМІРЛАН""";53.К.19.008;Уромбаев Торехан Ергалиевич;г. Астана, район Байконыр, ул.Циолковского, 1/1;8 (7172) 263733, 87783331183, 87057558088 torehan1@mail.ru;12.09.2019;29.06.2021;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
180440025400;"ТОО ""Коллекторское агентство ""Тулпар Финанс""";53.К.18.006;Рысбеков Бахытжан Султангалиевич;г. Астана, район Алматы, ул. Иманова, д. 19, офис 908 (С);8 775 999 51 83, rysbekov.83@bk.ru;14.08.2018;29.06.2021;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
210640008397;"ТОО ""Коллекторское агентство ""Улан""";02.К.21.013;Кушумбаев Нурахмет Иргуланович;А17С6Х3, г. Алматы, Бостандыкский р-н, пр. Сейфуллина, д.609;8-701-566-30-80, iphone6ru@gmail.com;30.06.2021;26.12.2024;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
180940025627;"ТОО ""Коллекторское агентство ""Управление по взысканию задолженности """;58.К.18.024;Лесбай Данияр Ербатырұлы;г.Шымкент, Аль-Фарабийский район, проспект Кабанбай Батыра, дом 7А, кв.47;тел: +7-747-771-03-80 ka_uvz@mail.ru;21.11.2018;29.06.2021;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
190840031184;"ТОО ""Коллекторское агентство ""Феномен""";58.К.19.007;Мустафаев Бекжан Абдималикович;г.Шымкент, Аль – Фарабийский район, улица А.Байтурсынова, здание 59/15, почтовый индекс 160011;тел: +7-700-673-87-38, bekjan_mba@mail.ru;28.10.2019;29.06.2021;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
180940002995;"ТОО ""Коллекторское агентство ""Финансово-юридическая компания""";53.К.18.007;Уромбаев Торехан Ергалиевич;г. Астана, улица Циолковского, дом 1/1;8(7172)95 19 35, fjc2018@mail.ru;12.10.2018;16.02.2022;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
200140028798;"ТОО ""Коллекторское агентство ""Финансовое бюро""";02.К.20.004;Тюебаев Мадияр Ергалиевич;050060, г. Алматы, Бостандыкский район, ул. Тимирязева, здание 42, блок 15;8 747 111 86 36, yerkanat.kazhgaliyev@gmail.com, www.Fbureau.kz;30.03.2020;12.07.2021;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
190540012850;"ТОО ""Коллекторское агентство ""Финансовый Центр по Урегулированию задолженности""";58.К.19.005;Потемкина Алена Владимировна;г.Шымкент, Аль-Фарабийский район, ул. М.Х.Дулати, д.2/5, почтовый индекс;тел: +7-701-738-28-56, afcuz@mail.ru, www.kafcuz.kz;09.07.2019;29.06.2021;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
170940007746;"ТОО ""Коллекторское агентство ""Финансы и право""";05.К.18.006;Кистаубаева Дина Токтагазыевна;050000, г. Алматы, Алмалинский район, пр. Абылай хана, д. 141, офис 105;тел: 8 707 222 77 01, financialandlaw@gmail.com, financialandlaw.kz;08.02.2018;24.02.2023;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
161240012619;"ТОО ""Коллекторское агентство ""Фёрст Коллекшн"" (""First collection"" Collection agency"")";05.К.17.015;Жакупов Асхат Абаевич;050062, г. Алматы, Ауэзовский район, ул. Кабдолова, д. 22Б, офис 408;тел: 8 (727) 356-35-40, info@collectora.kz, www.collectora.kz;31.10.2017;08.06.2023;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
180940005692;"ТОО ""Коллекторское агентство ""Халык коллекшн""";27.К.18.001;Ермухамбетов Бауржан Абильханович;г.Костанай, ул.Чехова, д.105/а, каб.215;87051098844, info@halykkollection.kz, www.halykkollection.kz;12.10.2018;30.06.2021;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
171040033775;"ТОО ""Коллекторское агентство ""Церера""";58.К.17.008;Жумабаева Айгуль Сундетулаевна;г.Шымкент, проспект Байдибек би, здание 126/1;"тел. +7 (7252) 41-71-69 CereraAgency@gmail.com; http://cerera.kz/";27.11.2017;10.01.2025;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
181140018915;"ТОО ""Коллекторское агентство ""Юридический долговой центр""";58.К.18.025;Бигалиева Айгуль Советовна;г.Шымкент, Каратауский район, 190 квартал, дом 3040. фактический адрес: г. Шымкент, Аль-Фарабийский район, ул.А Байтурсынова, дом 163.;тел: +7-778-922-30-13 aigulbauyr@gmail.com;13.12.2018;29.06.2021;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
190940001710;"ТОО ""Коллекторское агентство ""Юрист""";36.К.19.001;Мусетаева Гульмайда Насиевна;Северо-Казахстанская область, г.Петропавловск, ул. Рижская, д.22, почтовый индекс T01P9X0;тел: +7-705-879-54-73, ka.yurist@my.com, www.kayurist.kz;08.10.2019;24.06.2021;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
190140003798;"ТОО ""Коллекторское агентство Adal Kenes""";05.К.19.007;Жикебаев Алмас Сабырович;050062, г.Алматы, Ауэзовский район, мкр.Сайран, д.14;"87011313232; ka@adalkenes.kz; www.ka.adalkenes.kz";01.03.2019;27.11.2020;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
210140015986;"ТОО ""Коллекторское агентство B&B""";02.К.21.005;Абдрасилов Азамат Толеутаевич;050010, г.Алматы, Медеуский район, ул. Калдаякова, д. 35/23, офис 207;8-777-700-3050, bb-ca@mail.ru, bb-ca.kz;10.03.2021;14.12.2023;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
190140002284;"ТОО ""Коллекторское агентство Beta""";05.К.19.005;Есенов Ерлан Асанович;050000, г.Алматы, Медеуский район, ул.Айтеке би, д.55;"8 (727) 356-05-77; beta.ka@mail.ru; www.ka-beta.kz";21.02.2019;20.08.2021;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
221040007708;"ТОО ""Коллекторское агентство FinGarant""";02.K.22.018;Абитаева Аида Николаевна;050009, г. Алматы, Алмалинский район, проспект Абая, здание 151;+7756498848, fingarant.kz@mail.ru, https://fingarant.kz;30.12.2022;19.03.2024;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
190140002046;"ТОО ""Коллекторское агентство Micoll""";05.К.19.006;Есенов Ерлан Асанович;050000, г. Алматы, Медеуский район, улица Айтеке би, д. 55;"8 727 356 05 77 вн. 297; сот.тел:8-747-588-50-88; micoll19@mail.ru, www.ka-micoll.kz";28.02.2019;26.05.2022;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
180740029622;"ТОО ""Коллекторское агентство SKY""";58.К.18.023;Джарылкапова Фируза Молдахановна;Место нахождения: г.Шымкент, Аль-Фарабийский район, проспект Динмухамед Кунаев, здание 48, почтовый индекс 160000;тел. +7 701 981 21 33 collector_sky@mail.ru;01.10.2018;05.12.2019;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
180340015360;"ТОО ""Коллекторское агентство АйДи Инвест""";14.К.18.002;Жалмуратова Гульназира Пржановна;080012, Жамбылская область, г. Тараз, улица Казыбек би, дом 138;8 747 576 36 79, AiDi_collector@bk.ru;14.05.2018;15.07.2021;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
180540037656;"ТОО ""Коллекторское агентство Альтернатива""";58.К.18.013;Сембеков Б.М.;Место нахождение: г. Шымкент, Каратауский район, мкр. Азат, ул.Спатаева, дом 131 фактический адрес: г.Шымкент, Абайский район, ул.Желтоксан 20Б, каб 314;8-701-148-3777. ka_alternative@bk.ru;27.06.2018;03.03.2022;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
180140025529;"ТОО ""Коллекторское агентство Центр взысканий""";58.К.18.007;Саурукова Клара Ахатжапбаровна;"ЮКО, г.Шымкент, Абайский район, ул.Гагарина, д.52, кв.17; фактический адрес: ЮКО, Аль-Фарабийский район, ул.Толе би, офис 203";тел. +7 775 919 90 97 kacv2018@mail.ru, www.kacv.kz;10.04.2018;08.11.2019;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
180240020752;"ТОО ""Коллекторское агентство финансовой безопасности""";18.К.18.002;Маринич Д.И.;Карагандинская область, г. Караганда, район им. Казыбек би, ул. Ермекова, 11/2, офис 418;+7 (705) 162-52-54, kafb_krg@mail.ru;29.05.2018;11.03.2020;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
200240017667;"ТОО ""Первое коллекторское агентство""";02.К.20.003;Жанабаев Тимур Оразович;050040, г. Алматы, Медеуский район, ул. Жамакаева, д. 99;"8 (777) 233-33-36; nomad_union@mail.ru; www.nomadunion.kz";18.03.2020;26.10.2022;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
180440007472;"ТОО ""Финансовое коллекторское агентство""";58.К.18.012;Бермухамбетов Берик Ермекбаевич;г.Шымкент, Аль-Фарабийский район, ул.А.Байтурсынова, 10/2;тел.: 8 700 470 04 41, 8 775 185 30 86 Fin.kollektor@bk.ru;01.06.2018;05.07.2019;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
190640005534;"ТОО ""Центральное Коллекторское Агентство""";05.К.19.015;Иллахунов Алишер Махметжанович;050003, г. Алматы, Турксибский район, улица Рокотова, дом 5, кв. 2;"тел.: 8-747-709-01-25; info@center-collection.kz www.center-collection.kz";05.07.2019;09.10.2020;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
180240025275;"ТОО ""Юридическое и Коллекторское Агентство ""LAWPARTNERS""";53.К.18.004;Ахметов Рустам Бисатович;"г. Астана, район Алматы, ул. Иманова, д.18/2; фактический адрес: г. Астана, р-он Алматы, ул. Иманова, д.19, офис 903Е (БЦ «Деловой Дом «Алма-Ата»)";8(7172)787-320, lawpartners@gmail.com;21.05.2018;30.01.2019;подпункт 8) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
190140026668;"ТОО ""коллекторское агентство ""Аскар Тау""";18.К.19.001;Кабыкенов Д.Т.;Карагандинская область, г. . Караганда, ул. Гоголя, дом №33/2, кв.76.;+7 (771) 015 97 34, +7 (701)752 95 73, e-mail: kabykenov.duman@bk.ru;10.04.2019;26.01.2021;подпункт 5) пункта 1 статьи 9 Закона РК «О коллекторской деятельности»;Исключено
